client_id,name,last_name,email,phone,registration_date,country_id,city,client_type_id,status
1,Nicolás,García,nicolas.garcia001@clientes.tiendalatam.test,+593 99553327,2022-06-24,7,Quito,1,TRUE
2,Sofía,Jiménez,sofia.jimenez002@clientes.tiendalatam.test,+54 49681880,2025-12-14,1,Buenos Aires,1,FALSE
3,Claudia,Cortés,claudia.cortes003@clientes.tiendalatam.test,+598 97722495,2024-08-14,10,Colonia,4,TRUE
4,Ana,Sánchez,ana.sanchez004@clientes.tiendalatam.test,+56 36141405,2024-09-11,4,Santiago,1,TRUE
5,Gabriela,Vargas,gabriela.vargas005@clientes.tiendalatam.test,+55 26653300,2024-03-24,3,São Paulo,1,TRUE
6,Mónica,López,monica.lopez006@clientes.tiendalatam.test,+598 37610880,2024-12-17,10,Montevideo,1,TRUE
7,Camila,Cruz,camila.cruz007@clientes.tiendalatam.test,+52 57512896,2024-01-12,8,Monterrey,1,TRUE
8,Diego,Rivera,diego.rivera008@clientes.tiendalatam.test,+55 41405917,2025-02-07,3,Curitiba,2,TRUE
9,Manuel,Torres,manuel.torres009@clientes.tiendalatam.test,+51 14180549,2022-07-11,9,Trujillo,1,TRUE
10,Luis,Ramírez,luis.ramirez010@clientes.tiendalatam.test,+591 21549106,2022-09-02,2,Santa Cruz,1,TRUE
11,Lucía,Morales,lucia.morales011@clientes.tiendalatam.test,+51 33142051,2023-01-22,9,Lima,1,TRUE
12,Victoria,López,victoria.lopez012@clientes.tiendalatam.test,+593 90018304,2025-09-30,7,Guayaquil,2,TRUE
13,Mónica,Martínez,monica.martinez013@clientes.tiendalatam.test,+56 40253762,2024-02-13,4,Concepción,1,TRUE
14,Nicolás,Morales,nicolas.morales014@clientes.tiendalatam.test,+591 40606880,2024-05-10,2,La Paz,2,FALSE
15,Diego,Romero,diego.romero015@clientes.tiendalatam.test,+54 89279309,2025-05-05,1,Mendoza,4,TRUE
16,Luis,Rodríguez,luis.rodriguez016@clientes.tiendalatam.test,+57 34888787,2025-02-03,5,Cali,1,TRUE
17,Santiago,Navarro,santiago.navarro017@clientes.tiendalatam.test,+55 27888513,2023-10-24,3,São Paulo,2,TRUE
18,Sebastián,Sánchez,sebastian.sanchez018@clientes.tiendalatam.test,+51 44393199,2024-04-03,9,Cusco,1,TRUE
19,Carolina,García,carolina.garcia019@clientes.tiendalatam.test,+54 12101506,2026-03-07,1,Mendoza,1,TRUE
20,Sebastián,Torres,sebastian.torres020@clientes.tiendalatam.test,+506 11734237,2023-10-01,6,Alajuela,1,TRUE
21,Esteban,Cruz,esteban.cruz021@clientes.tiendalatam.test,+593 17519058,2025-03-23,7,Cuenca,2,TRUE
22,Miguel,Fuentes,miguel.fuentes022@clientes.tiendalatam.test,+56 40230779,2023-08-12,4,Valparaíso,1,TRUE
23,Emilia,Romero,emilia.romero023@clientes.tiendalatam.test,+598 45029232,2024-09-23,10,Montevideo,2,TRUE
24,Sebastián,García,sebastian.garcia024@clientes.tiendalatam.test,+51 19067622,2024-09-08,9,Cusco,1,TRUE
25,Isabella,Navarro,isabella.navarro025@clientes.tiendalatam.test,+52 81598036,2022-08-23,8,Puebla,1,TRUE
26,Diego,Ortiz,diego.ortiz026@clientes.tiendalatam.test,+506 83538392,2025-05-21,6,Heredia,4,TRUE
27,Claudia,Rodríguez,claudia.rodriguez027@clientes.tiendalatam.test,+57 82338295,2024-05-24,5,Medellín,3,TRUE
28,Jorge,Rodríguez,jorge.rodriguez028@clientes.tiendalatam.test,+55 92530891,2025-11-18,3,São Paulo,1,TRUE
29,Luis,Campos,luis.campos029@clientes.tiendalatam.test,+57 66757364,2022-12-17,5,Bogotá,4,TRUE
30,Camila,Fuentes,camila.fuentes030@clientes.tiendalatam.test,+56 24950391,2022-01-17,4,La Serena,1,TRUE
31,Juan,Vargas,juan.vargas031@clientes.tiendalatam.test,+51 79725926,2025-02-06,9,Lima,1,TRUE
32,Santiago,Cruz,santiago.cruz032@clientes.tiendalatam.test,+506 82617646,2022-09-09,6,Cartago,3,TRUE
33,Juan,Navarro,juan.navarro033@clientes.tiendalatam.test,+51 89170971,2022-05-07,9,Cusco,1,TRUE
34,Felipe,Castro,felipe.castro034@clientes.tiendalatam.test,+593 43780662,2025-04-17,7,Guayaquil,2,TRUE
35,Mónica,Silva,monica.silva035@clientes.tiendalatam.test,+55 75556759,2024-10-21,3,Río de Janeiro,2,TRUE
36,Mónica,Ramírez,monica.ramirez036@clientes.tiendalatam.test,+506 28630663,2025-05-16,6,Cartago,1,TRUE
