client_id,name,last_name,email,phone,registration_date,country_id,city,client_type_id,status
1,Manuela,Vázquez,manuela.vazquez001@clientes.tiendalatam.test,+54 28728463,2025-03-01,1,Rosario,2,TRUE
2,Carlos,López,carlos.lopez002@clientes.tiendalatam.test,+591 22575562,2026-01-01,2,Sucre,1,TRUE
3,Eduardo,Lozano,eduardo.lozano003@clientes.tiendalatam.test,+56 89089901,2021-09-22,4,Antofagasta,1,TRUE
4,Magdalena,Maldonado,magdalena.maldonado004@clientes.tiendalatam.test,+55 30868105,2025-07-30,3,Belo Horizonte,1,TRUE
5,Trinidad,Peña,trinidad.pena005@clientes.tiendalatam.test,+593 91030736,2022-07-09,7,Quito,1,TRUE
6,Mateo,Aranda,mateo.aranda006@clientes.tiendalatam.test,+591 49349722,2024-06-22,2,Sucre,3,TRUE
7,Cristian,Torres,cristian.torres007@clientes.tiendalatam.test,+598 16150444,2025-11-28,10,Montevideo,2,TRUE
8,Ignacio,Maldonado,ignacio.maldonado008@clientes.tiendalatam.test,+56 70855700,2026-04-14,4,Santiago,2,TRUE
9,Ximena,Flores,ximena.flores009@clientes.tiendalatam.test,+56 91756179,2024-02-01,4,Concepción,2,TRUE
10,Nicolás,Saldaña,nicolas.saldana010@clientes.tiendalatam.test,+52 39476249,2023-06-16,8,Puebla,2,TRUE
11,Cristóbal,Cisneros,cristobal.cisneros011@clientes.tiendalatam.test,+56 45935572,2025-08-19,4,Santiago,1,FALSE
12,Damián,Valdez,damian.valdez012@clientes.tiendalatam.test,+506 63100814,2024-11-24,6,San José,3,TRUE
13,Aurora,Saldaña,aurora.saldana013@clientes.tiendalatam.test,+55 82340307,2022-10-30,3,Rio de Janeiro,1,TRUE
14,Eduardo,Castillo,eduardo.castillo014@clientes.tiendalatam.test,+593 78387461,2026-01-08,7,Guayaquil,1,TRUE
15,Jimena,Cordero,jimena.cordero015@clientes.tiendalatam.test,+55 90048665,2025-11-27,3,Rio de Janeiro,1,TRUE
16,Adriana,Rodríguez,adriana.rodriguez016@clientes.tiendalatam.test,+51 25374874,2026-04-25,9,Trujillo,2,TRUE
17,Constanza,Padilla,constanza.padilla017@clientes.tiendalatam.test,+506 31227574,2023-07-30,6,San José,1,FALSE
