employee_id,name,last_name,email,location_id,registration_date,employee_position,status
1,Patricia,Aguilar,patricia.aguilar01@tiendalatam.com,1,2023-08-23,1,TRUE
2,Carlos,Rivera,carlos.rivera02@tiendalatam.com,1,2021-07-22,4,TRUE
3,Ana,Pérez,ana.perez03@tiendalatam.com,2,2021-09-18,1,TRUE
4,Miguel,Navarro,miguel.navarro04@tiendalatam.com,2,2022-06-02,5,TRUE
5,Miguel,Navarro,miguel.navarro05@tiendalatam.com,3,2021-11-23,1,TRUE
6,Daniela,Aguilar,daniela.aguilar06@tiendalatam.com,3,2023-01-15,5,TRUE
7,Jorge,Reyes,jorge.reyes07@tiendalatam.com,4,2025-10-13,1,TRUE
8,Nicolás,Rodríguez,nicolas.rodriguez08@tiendalatam.com,4,2022-03-26,2,TRUE
9,Natalia,Vargas,natalia.vargas09@tiendalatam.com,5,2023-02-15,1,TRUE
10,Pablo,Campos,pablo.campos10@tiendalatam.com,5,2021-06-19,4,TRUE
11,Diego,Suárez,diego.suarez11@tiendalatam.com,6,2021-09-17,1,TRUE
12,Felipe,Torres,felipe.torres12@tiendalatam.com,6,2024-10-02,5,TRUE
13,Patricia,Ortiz,patricia.ortiz13@tiendalatam.com,7,2024-04-20,1,TRUE
14,Carolina,Fuentes,carolina.fuentes14@tiendalatam.com,7,2023-06-12,4,TRUE
15,Diego,Herrera,diego.herrera15@tiendalatam.com,8,2023-04-21,1,TRUE
16,Renata,Vargas,renata.vargas16@tiendalatam.com,8,2023-04-28,2,TRUE
17,Renata,Sánchez,renata.sanchez17@tiendalatam.com,9,2024-04-19,1,TRUE
18,Pablo,Castro,pablo.castro18@tiendalatam.com,9,2022-10-30,5,TRUE
19,Juan,Flores,juan.flores19@tiendalatam.com,10,2024-10-30,1,TRUE
20,Diego,Silva,diego.silva20@tiendalatam.com,10,2025-08-05,2,FALSE
